2023-05-23 01:22:38:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 0.00099, 0.01, 0.01]
2023-05-27 16:12:29:hist_3_v0_00: p=11422: cost=0.30613064765930176 {'c_scav': 2.499959703358985, 'k_inorg': 0.0008541034252300219, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 16:21:57:hist_3_v0_00: p=11422: cost=0.30182403326034546 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009098309579499632, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 16:31:22:hist_3_v0_00: p=11422: cost=0.2993960380554199 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.00099, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 16:40:41:hist_3_v0_00: p=11422: cost=0.2997201979160309 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0003819721915899925, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 16:50:03:hist_3_v0_00: p=11422: cost=0.2995935082435608 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0006180378084100072, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 16:59:23:hist_3_v0_00: p=11422: cost=0.29951632022857666 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0007639343831799852, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 17:08:49:hist_3_v0_00: p=11422: cost=0.2994687259197235 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0008541034252300219, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 17:18:15:hist_3_v0_00: p=11422: cost=0.2994382679462433 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009098309579499632, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 17:27:40:hist_3_v0_00: p=11422: cost=0.2994174659252167 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.01, 'mu_D_180': 0.01}
2023-05-27 17:37:09:hist_3_v0_00: p=11422: cost=0.299690842628479 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.014549150281252626, 'mu_D_180': 0.01}
2023-05-27 17:46:31:hist_3_v0_00: p=11422: cost=0.3000154197216034 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.020450849718747367, 'mu_D_180': 0.01}
2023-05-27 17:55:54:hist_3_v0_00: p=11422: cost=0.2994716465473175 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.010901699437494743, 'mu_D_180': 0.01}
2023-05-27 18:05:20:hist_3_v0_00: p=11422: cost=0.2993299961090088 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.008647450843757886, 'mu_D_180': 0.01}
2023-05-27 18:14:44:hist_3_v0_00: p=11422: cost=0.29924294352531433 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.007254248593736856, 'mu_D_180': 0.01}
2023-05-27 18:24:06:hist_3_v0_00: p=11422: cost=0.299184113740921 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.0063932022500210305, 'mu_D_180': 0.01}
2023-05-27 18:33:32:hist_3_v0_00: p=11422: cost=0.2991517186164856 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.005861046343715826, 'mu_D_180': 0.01}
2023-05-27 18:42:58:hist_3_v0_00: p=11422: cost=0.2991415858268738 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.005532155906305205, 'mu_D_180': 0.01}
2023-05-27 18:52:22:hist_3_v0_00: p=11422: cost=0.29912081360816956 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.00525544205666199, 'mu_D_180': 0.01}
2023-05-27 19:01:47:hist_3_v0_00: p=11422: cost=0.2991276979446411 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'mu_D': 0.00536113734206787, 'mu_D_180': 0.01}
