2023-05-11 20:36:59:felx_hist: Optimisation method=Nelder-Mead
2023-05-12 02:28:21:hist_250_v0_00: p=3294: cost=0.31365105509757996 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.173770007537828e-05, 'mu_D': 0.012857738030760346, 'mu_D_180': 0.008966821122046095}
2023-05-12 02:37:54:hist_250_v0_00: p=3294: cost=0.3142133057117462 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.263084302582451e-05, 'mu_D': 0.013957156018987421, 'mu_D_180': 0.010152889954439838}
2023-05-12 02:47:31:hist_250_v0_00: p=3294: cost=0.31320998072624207 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.019985644872559e-05, 'mu_D': 0.012219419092935658, 'mu_D_180': 0.009669993154305487}
2023-05-12 02:57:00:hist_250_v0_00: p=3294: cost=0.31140828132629395 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.4802300009715e-05, 'mu_D': 0.009163052041798014, 'mu_D_180': 0.010125025666877951}
2023-05-12 03:06:28:hist_250_v0_00: p=3294: cost=0.31157007813453674 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.128085643523546e-05, 'mu_D': 0.00932916381901435, 'mu_D_180': 0.00952200604589759}
2023-05-12 03:15:56:hist_250_v0_00: p=3294: cost=0.3107577860355377 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.662973338929522e-05, 'mu_D': 0.008032212061083194, 'mu_D_180': 0.010668760614742603}
2023-05-12 03:25:27:hist_250_v0_00: p=3294: cost=0.30899107456207275 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.150997222369509e-05, 'mu_D': 0.005, 'mu_D_180': 0.011746816306389601}
2023-05-12 03:35:03:hist_250_v0_00: p=3294: cost=0.30903011560440063 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 4.848889547961586e-05, 'mu_D': 0.005, 'mu_D_180': 0.011018641812043876}
2023-05-12 03:44:38:hist_250_v0_00: p=3294: cost=0.3090616464614868 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 4.849704666363138e-05, 'mu_D': 0.005, 'mu_D_180': 0.010398834426862208}
2023-05-12 03:54:13:hist_250_v0_00: p=3294: cost=0.3089618980884552 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.8093928249378825e-05, 'mu_D': 0.005, 'mu_D_180': 0.012157708581182394}
2023-05-12 04:03:42:hist_250_v0_00: p=3294: cost=0.30888843536376953 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.12720423363791e-05, 'mu_D': 0.005, 'mu_D_180': 0.013753152310750541}
2023-05-12 04:13:10:hist_250_v0_00: p=3294: cost=0.30890554189682007 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.254724624997913e-05, 'mu_D': 0.005, 'mu_D_180': 0.01329498216327208}
2023-05-12 04:22:43:hist_250_v0_00: p=3294: cost=0.30892324447631836 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 3.412378117160524e-05, 'mu_D': 0.005, 'mu_D_180': 0.013959945140849372}
2023-05-12 04:32:07:hist_250_v0_00: p=3294: cost=0.3088439702987671 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.467972832087839e-05, 'mu_D': 0.005, 'mu_D_180': 0.015110580666459976}
2023-05-12 04:41:38:hist_250_v0_00: p=3294: cost=0.3087509870529175 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.777106914950188e-05, 'mu_D': 0.005, 'mu_D_180': 0.017466453786258856}
2023-05-12 04:51:18:hist_250_v0_00: p=3294: cost=0.30876418948173523 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.840074897284831e-05, 'mu_D': 0.005, 'mu_D_180': 0.017069898070964304}
2023-05-12 05:00:55:hist_250_v0_00: p=3294: cost=0.30871525406837463 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 5.8135982928430365e-05, 'mu_D': 0.005, 'mu_D_180': 0.018470956282448457}
