2023-05-20 13:00:49:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.48e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-24 03:41:37:hist_1_v0_00: p=11422: cost=0.29513639211654663 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009930877057613158, 'I_0': 297.2588734567902, 'PAR': 0.4243097993827161, 'mu_D': 0.009943737139917688, 'mu_D_180': 0.010154385288065835, 'gamma_2': 0.010154385288065835, 'mu_P': 0.010154385288065835, 'a': 0.5984297839506169, 'b': 1.08245747170782, 'c': 1.0154385288065844}
2023-05-24 03:51:43:hist_1_v0_00: p=11422: cost=0.2949737310409546 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009936023233882022, 'I_0': 296.80201903292175, 'PAR': 0.4233614326131688, 'mu_D': 0.009934359996570637, 'mu_D_180': 0.01018011616941014, 'gamma_2': 0.01018011616941014, 'mu_P': 0.01018011616941014, 'a': 0.5981680812757196, 'b': 1.0852003836591229, 'c': 1.0180116169410152}
2023-05-24 04:01:53:hist_1_v0_00: p=11422: cost=0.29470473527908325 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009942027106195693, 'I_0': 296.26902220507543, 'PAR': 0.42225500471536354, 'mu_D': 0.009923419995999076, 'mu_D_180': 0.010210135530978498, 'gamma_2': 0.010210135530978498, 'mu_P': 0.010210135530978498, 'a': 0.5978627614883395, 'b': 1.0884004476023101, 'c': 1.021013553097851}
2023-05-24 04:11:56:hist_1_v0_00: p=11422: cost=0.2944176495075226 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009832364957228306, 'I_0': 295.6471925725881, 'PAR': 0.4209641721679241, 'mu_D': 0.009910656661998923, 'mu_D_180': 0.010245158119474915, 'gamma_2': 0.010245158119474915, 'mu_P': 0.010245158119474915, 'a': 0.5975065550697295, 'b': 1.0921338555360285, 'c': 1.0245158119474929}
2023-05-24 04:22:03:hist_1_v0_00: p=11422: cost=0.29407742619514465 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009921092450099695, 'I_0': 294.92172466801946, 'PAR': 0.41945820086257796, 'mu_D': 0.009895766105665412, 'mu_D_180': 0.01028601780605407, 'gamma_2': 0.009702684472720735, 'mu_P': 0.01028601780605407, 'a': 0.5970909809146846, 'b': 1.0964894981253666, 'c': 1.0286017806054084}
2023-05-24 04:32:09:hist_1_v0_00: p=11422: cost=0.2936469316482544 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009924607858449643, 'I_0': 294.07534544602265, 'PAR': 0.41770123433967427, 'mu_D': 0.00987839378994298, 'mu_D_180': 0.010333687440396413, 'gamma_2': 0.010153131884840858, 'mu_P': 0.009750354107063082, 'a': 0.5966061444004652, 'b': 1.101571081146261, 'c': 1.033368744039643}
2023-05-24 04:42:18:hist_1_v0_00: p=11422: cost=0.2930896282196045 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009928709168191253, 'I_0': 293.0879030203597, 'PAR': 0.41565144006295335, 'mu_D': 0.00985812608826681, 'mu_D_180': 0.009805968680462481, 'gamma_2': 0.010178653865647666, 'mu_P': 0.010208746458240261, 'a': 0.5960405018005429, 'b': 1.107499594670638, 'c': 1.0389302013795838}
2023-05-24 04:52:26:hist_1_v0_00: p=11422: cost=0.30187296867370605 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009943063752286879, 'I_0': 289.6318545305396, 'PAR': 0.40847716009443, 'mu_D': 0.009787189132400214, 'mu_D_180': 0.00945895302069372, 'gamma_2': 0.010267980798471497, 'mu_P': 0.01031311968736039, 'a': 0.5940607527008144, 'b': 1.1282493920059573, 'c': 1.0583953020693757}
2023-05-24 05:02:32:hist_1_v0_00: p=11422: cost=0.29282045364379883 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009933494029556464, 'I_0': 291.9358868570863, 'PAR': 0.41326001340677904, 'mu_D': 0.009834480436311284, 'mu_D_180': 0.010273630127206229, 'gamma_2': 0.010208429509922281, 'mu_P': 0.01024353753461364, 'a': 0.5953805854339668, 'b': 1.1144161937824106, 'c': 0.9870852349428476}
2023-05-24 05:12:50:hist_1_v0_00: p=11422: cost=0.2980943024158478 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009950241044334694, 'I_0': 287.9038302856295, 'PAR': 0.4048900201101685, 'mu_D': 0.009751720654466927, 'mu_D_180': 0.010410445190809341, 'gamma_2': 0.01031264426488342, 'mu_P': 0.010365306301920462, 'a': 0.5930708781509502, 'b': 1.138624290673616, 'c': 0.9556278524142714}
2023-05-24 05:22:58:hist_1_v0_00: p=11422: cost=0.29298603534698486 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009919631923371434, 'I_0': 287.6752013332674, 'PAR': 0.43555334897457554, 'mu_D': 0.00970967162014094, 'mu_D_180': 0.01022201292618505, 'gamma_2': 0.010145945539353772, 'mu_P': 0.010186904901493694, 'a': 0.5887773496729615, 'b': 1.112121670523923, 'c': 1.025210551877767}
2023-05-24 05:33:12:hist_1_v0_00: p=11422: cost=0.2929188311100006 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009913104527883953, 'I_0': 290.47060525918243, 'PAR': 0.41985622195181965, 'mu_D': 0.01029284219880641, 'mu_D_180': 0.010210018166968983, 'gamma_2': 0.010121272882332494, 'mu_P': 0.010169058804829068, 'a': 0.5839670931369737, 'b': 1.1145855446235886, 'c': 1.0245126191660359}
2023-05-24 05:43:27:hist_1_v0_00: p=11422: cost=0.29365214705467224 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009915288615864612, 'I_0': 303.88237280237945, 'PAR': 0.41816559227712297, 'mu_D': 0.009758315898607478, 'mu_D_180': 0.010245021194797145, 'gamma_2': 0.01014148502938791, 'mu_P': 0.010197235272300579, 'a': 0.581294941993136, 'b': 1.1226831353941866, 'c': 1.0285980556937084}
2023-05-24 05:53:39:hist_1_v0_00: p=11422: cost=0.29543888568878174 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009906404105339993, 'I_0': 292.68722814598596, 'PAR': 0.4183000582739275, 'mu_D': 0.009871520297346585, 'mu_D_180': 0.010228694994753052, 'gamma_2': 0.010107902801775611, 'mu_P': 0.01017294475184039, 'a': 0.6155809817080414, 'b': 1.126036741807621, 'c': 1.027648091724965}
2023-05-24 06:03:56:hist_1_v0_00: p=11422: cost=0.29454538226127625 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009921450563372032, 'I_0': 296.40965425871866, 'PAR': 0.4234170284573708, 'mu_D': 0.009931711092855162, 'mu_D_180': 0.010156421433873443, 'gamma_2': 0.010126223385629083, 'mu_P': 0.010142483873145277, 'a': 0.5836001065381212, 'b': 1.0915889886926464, 'c': 1.0168367914497596}
2023-05-24 06:14:16:hist_1_v0_00: p=11422: cost=0.2946988046169281 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.000990042201473603, 'I_0': 292.93728111914675, 'PAR': 0.4189641489221723, 'mu_D': 0.009877553507609832, 'mu_D_180': 0.010206979311235391, 'gamma_2': 0.010081154110217224, 'mu_P': 0.010148906141534702, 'a': 0.5876193996701565, 'b': 1.1252075939182606, 'c': 1.025675631383601}
2023-05-24 06:24:31:hist_1_v0_00: p=11422: cost=0.2973617911338806 {'c_scav': 2.5, 'k_inorg': 0.001, 'k_org': 0.0009889342301942832, 'I_0': 292.75001255738607, 'PAR': 0.4191796350765536, 'mu_D': 0.009877462902796745, 'mu_D_180': 0.010185725620195296, 'gamma_2': 0.010038929552340767, 'mu_P': 0.010117973588877822, 'a': 0.5861229887441265, 'b': 1.1291325503434806, 'c': 1.0243798789896008}
