2023-05-22 06:40:43:felx_hist: Optimisation Nelder-Mead method - init [2.5, 0.001, 1.4780934529146143e-05, 300, 0.43, 0.005, 0.03, 0.01, 0.01, 0.6, 1.066, 1.0]
2023-05-27 22:45:01:hist_2_v0_00: p=11422: cost=0.2985686659812927 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32589465898108766, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 22:55:25:hist_2_v0_00: p=11422: cost=0.2985728085041046 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.3258164252393955, 'mu_D': 0.01, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 23:05:46:hist_2_v0_00: p=11422: cost=0.2987626791000366 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.014549150281252626, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 23:16:07:hist_2_v0_00: p=11422: cost=0.2989799678325653 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.020450849718747367, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 23:26:28:hist_2_v0_00: p=11422: cost=0.2986118793487549 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.010901699437494743, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 23:36:47:hist_2_v0_00: p=11422: cost=0.2985270321369171 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.008647450843757886, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 23:47:11:hist_2_v0_00: p=11422: cost=0.29849520325660706 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.007254248593736856, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-27 23:57:32:hist_2_v0_00: p=11422: cost=0.298455148935318 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.0063932022500210305, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 00:07:52:hist_2_v0_00: p=11422: cost=0.2984236478805542 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005861046343715826, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 00:18:13:hist_2_v0_00: p=11422: cost=0.2984123229980469 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005532155906305205, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 00:28:54:hist_2_v0_00: p=11422: cost=0.2984088957309723 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005328890437410621, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 00:39:11:hist_2_v0_00: p=11422: cost=0.29840341210365295 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.00517521887302243, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 00:49:32:hist_2_v0_00: p=11422: cost=0.2984013855457306 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.0051082912189983135, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 00:59:50:hist_2_v0_00: p=11422: cost=0.29840055108070374 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005066927654024116, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 01:10:14:hist_2_v0_00: p=11422: cost=0.2983981668949127 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.01, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 01:20:35:hist_2_v0_00: p=11422: cost=0.29795053601264954 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.014549150281252626, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 01:30:55:hist_2_v0_00: p=11422: cost=0.29749906063079834 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.020450849718747367, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 01:41:17:hist_2_v0_00: p=11422: cost=0.2972725033760071 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.024098300562505254, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 01:51:35:hist_2_v0_00: p=11422: cost=0.29714906215667725 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.026352549156242112, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 02:01:58:hist_2_v0_00: p=11422: cost=0.297077476978302 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.02774575140626314, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 02:12:17:hist_2_v0_00: p=11422: cost=0.29703545570373535 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.028606797749978964, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 02:22:39:hist_2_v0_00: p=11422: cost=0.2970098853111267 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.029138953656284168, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 02:33:01:hist_2_v0_00: p=11422: cost=0.29699426889419556 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.029467844093694788, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 02:43:25:hist_2_v0_00: p=11422: cost=0.2969846725463867 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.029671109562589372, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 02:53:44:hist_2_v0_00: p=11422: cost=0.29697567224502563 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.029796734531105415, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 03:04:06:hist_2_v0_00: p=11422: cost=0.2969720661640167 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.029874375031483963, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
2023-05-28 03:14:24:hist_2_v0_00: p=11422: cost=0.2969698905944824 {'c_scav': 2.499959703358985, 'k_inorg': 0.0009442724672800587, 'k_org': 0.0009442724672800587, 'I_0': 281.16269066154223, 'PAR': 0.32584976011752653, 'mu_D': 0.005033594247521495, 'mu_D_180': 0.02992235949962145, 'gamma_2': 0.01, 'mu_P': 0.01, 'a': 0.6, 'b': 1.066, 'c': 1.0}
